-----𝑘|--𝑛=𝑘·𝑛ⱼ·𝑛ᵢ|-----tⱼᵢ------|--------tₜₒₜₐₗ---------|------data e hora (utc)-------|ƒₙ(1/𝑒ᵉ) → 1/𝑒 ≈ 0.36787944117144

------|-----------|------|-------|---------|-------------|1449751080|2015/12/10 12:38:00|
     1|     500000| 261.5|04:21.5|    261.5|00 00:04:21.5|1449751341|2015/12/10 12:42:21|0.36915490410429727085442369499451598700258542516592936110738699726609953435080759224667809624774450165198095607724920942557589424539245393585929139739959187785308532321388365120719940168639982623215381518831230998327160885106456550028003218813547432153534731672113407306007044968957510314735427687488782404461513578897393482680826520549401800245728411123703365791156696535031590339620240290435728022562332645884569705357674917406095688053217075809392932034318483190333168394593991367646137232237634099
     2|    1000000| 242.4|04:02.4|    503.9|00 00:08:23.9|1449751583|2015/12/10 12:46:23|0.3687811053369587113854941169016419220270895863334543425504167200344830764983936557780714430823041023432893527496407291892530482743512176793792373329471817134488511182627574115953143997152830521344384352764760828671556622769101401846920183367856405127418104824227322075689803816788869017594069515596757341148534013295380963223610739692491090040967518706844648938196138405522585558799741347495142594075003928601271942611468577998801856934850635946149494944594242537471582810787763124980643325435320058
     3|    1500000| 236.7|03:56.7|    740.6|00 00:12:20.6|1449751820|2015/12/10 12:50:20|0.36861556539318574179521730834151915159280753586703916534028826615086193371278073820909023313601490264154932661839656082484338652642652421927527609265253686433885720003097931732738334658125191735488918657404528390637864062558277817622379051646461891799310803709088048748779534224104272867248503010018308024303529480948287142999248560337980072156566322286691872706569494981633378678840851629524595800971156663111166869819197911413449342162011098211373003321208303210686710782656734672840581067191305045
     4|    2000000| 233.0|03:53.0|    973.6|00 00:16:13.6|1449752053|2015/12/10 12:54:13|0.36851690129052918830985186207987700945072344251827109464134161295523317102102132148384735677781435179465470713942535666740765269463333761014117814994873548745637086010963695800417596526922553364460079960967996983416363398338908971265286270095856843148983820787295590106862811477722860972085362347013922963990957227574616485240042200216767484677349620421701981564268348581821832059445638800384228920721861996211218261230598083632833649984986733822139607035179998812115593566923342671630222034225285115
     5|    2500000| 231.4|03:51.4|   1204.9|00 00:20:04.9|1449752284|2015/12/10 12:58:04|0.36844957706790528031740103441006649167402795946958976755091178425999174461115636316286481803422234721206308706414482166746717637655162699767872773048974260053832366456141740350696317687863531991269719371900816256407954948088904372758800539796378087297584412793257200493731516906880031150601273017268401458078473070600022719245859854296741207580315973305647356575890577958240268660694053149542633128492342861212105304206335982167545683900052183403241531705328777185276440647582307507416081195286126774
     6|    3000000| 229.2|03:49.2|   1434.1|00 00:23:54.1|1449752514|2015/12/10 13:01:54|0.36839988427683346423572293417506157649338799179379425060451448607127971574951127511298046755136319885993840953844214251099997775638817540828463067160663432395508087462127817152809796302176324729785263646113905454612482648984765596260327549602152857575228720578269639860583569441193122659000824220338320584147780211975067199220996041058378664864270528228671890064325275332685218806175575406880498604321938825531457970907476015420632789755414097494176544344564357698980288461644879658209821164374306603
     7|    3500000| 228.2|03:48.2|   1662.3|00 00:27:42.3|1449752742|2015/12/10 13:05:42|0.36836126534411134123800977135550470179905588933866751073989846583940634392292228095198422357475200612318735858517609677913647951028823425273557342975362388503003986931423322741889198515484159263700759196989997972331901231157251834203933103324195622884069537102807282789221673348431371913494789231256898244078028085554886205297751279013281797659081535850382175605385423504792559921386616830343769002167608358681420233320805971114743416629865776234619255100253472421205804869308833813077193707400423407
     8|    4000000| 227.1|03:47.1|   1889.4|00 00:31:29.4|1449752969|2015/12/10 13:09:29|0.36833013697301194478552432666807788683329555101741520342744888537287741262148423357028120162218219584037666709989983103379096732129272422178709212074898495362041837540034325431667092228865056459863330940447654812953100375218037400128169384637762165567040636128486170576826418678076326312593302608853759907206175409668126741650574860809179347100333666991377456866864150783175895825080073470884925888365422459532119335325934598923863870965825241591780500270213984839305097301732043568930458932377658137
     9|    4500000| 226.1|03:46.1|   2115.5|00 00:35:15.5|1449753195|2015/12/10 13:13:15|0.36830435387083966861344314651988480001843551811154420463269690433755961716011176213200741289189409616991634764120314431105915448875865077906569428871951414773970265269899982525682605770818974449581894404906666939501047399872044003166430151335563037197687024790529806766162854283485402016016470574795401420598416565319657944904938099006819060383216521524445925964722343726602677792908944130551868120104935918008450986601608144972903326374194696114848183635860747135702563309889668214079794657309764768
    10|    5000000| 225.0|03:45.0|   2340.5|00 00:39:00.5|1449753420|2015/12/10 13:17:00|0.36828254282935043347480208879903779641243861231719949560253932584926632715263825691364659904213484392217924553153982016088182360648587550325594745128611767508168020263340277644049900697625364826468125546507928517106445000012101636596838271980407313194744002545359823316200217236070426927822553180274446096225517400257193333916042053247960055861405268278381152105070966375135643675174138529066188418084757968471654240234040046622543850954425747851453723197532253508971843357742190619117737970929796787
    11|    5500000| 223.6|03:43.6|   2564.1|00 00:42:44.1|1449753644|2015/12/10 13:20:44|0.36826377866152276085896762876810692743080686980326364791400286626226970922015777345524259131056674729796045412530873539528372611223524195379898576181178931249845760628705144308198468850887831886570720273230176135955693561959109371707537278189799775698852524135460668638783692655469302826439914204906109623734365410132424504077738462313648626897150389339847221895944494788067372297546306325190218069341987303435508111081482376234862073081950279594433628816229557345639322421688652327411608068932625533
