n    tn     tn+1   Sƒn                                Sƒn+1                              1 - Sƒn                            Sƒn - Sƒn+1                       
  0  00.00  00.00  1.0000000000000000000000000000000  0.5000000000000000000000000000000  0.0000000000000000000000000000000  0.5000000000000000000000000000000  
  2  00.06  00.02  0.7834305107121343203502306096200  0.5731215670436194953296649146100  0.2165694892878656796497693903800  0.2103089436685148250205656950100  
  4  00.05  00.01  0.7313397798915710623646191379500  0.5975776349457144753785087232200  0.2686602201084289376353808620500  0.1337621449458565869861104147300  
  6  00.07  00.05  0.7106589413983666059237975787200  0.6088236674897090638935992501500  0.2893410586016333940762024212700  0.1018352739086575420301983285800  
  8  00.08  00.05  0.7002371602402724937164180119000  0.6149950812974244174213822589100  0.2997628397597275062835819881000  0.0852420789428480762950357529920  
 10  00.09  00.05  0.6941860893836224732922346447600  0.6187864418352215789553838476400  0.3058139106163775267077653552400  0.0753996475484008943368507971170  
 12  00.09  00.08  0.6903267341120873368254251545300  0.6213049206571787941300044622000  0.3096732658879126631745748454700  0.0690218134549085426954206923260  
 14  00.12  00.09  0.6876953667409648751629447360700  0.6230761823349525441173568651700  0.3123046332590351248370552639200  0.0646191844060123310455878709040  
 16  00.10  00.13  0.6858097002094195593357994766800  0.6243772339004006743934382939200  0.3141902997905804406642005233100  0.0614324663090188849423611827660  
 18  00.17  00.19  0.6844053823863474050881450239100  0.6253660390130405533071211721100  0.3155946176136525949118549760900  0.0590393433733068517810238518000  
 20  00.17  00.13  0.6833270197086152020204963264400  0.6261384249938183321759765931300  0.3166729802913847979795036735600  0.0571885947147968698445197333050  
 22  00.18  00.18  0.6824780597879051002863093344800  0.6267554911027670705436776188400  0.3175219402120948997136906655200  0.0557225686851380297426317156350  
 24  00.26  00.17  0.6817957470544430131909052761300  0.6272578199546890997950754353900  0.3182042529455569868090947238700  0.0545379270997539133958298407380  
 26  00.30  00.17  0.6812377423941108345317729799700  0.6276733038893315130835048876200  0.3187622576058891654682270200300  0.0535644385047793214482680923530  
 28  00.27  00.20  0.6807745699261542604574515280500  0.6280216767722571757914806767100  0.3192254300738457395425484719400  0.0527528931538970846659708513470  
 30  00.26  00.25  0.6803851518732336733918941718000  0.6283172518357306168823583902800  0.3196148481267663266081058282000  0.0520679000375030565095357815150  
 32  00.34  00.25  0.6800540633294461789759566272500  0.6285706369587245045948975530300  0.3199459366705538210240433727400  0.0514834263707216743810590742210  
 34  00.34  00.25  0.6797697864385300325906769103300  0.6287898436931486090273324407400  0.3202302135614699674093230896700  0.0509799427453814235633444695850  
 36  00.35  00.32  0.6795235670106634096043762838200  0.6289810243434890146829729928900  0.3204764329893365903956237161800  0.0505425426671743949214032909360  
 38  00.35  00.33  0.6793086461026280886699169059300  0.6291489738940462261851394032400  0.3206913538973719113300830940700  0.0501596722085818624847775026860  
 40  00.39  00.33  0.6791197316550087181852290996200  0.6292974792648670101513630470400  0.3208802683449912818147709003800  0.0498222523901417080338660525740  
 42  00.38  00.34  0.6789526277136280763002673666000  0.6294295670722295232835108436100  0.3210473722863719236997326333900  0.0495230606413985530167565229930  
 44  00.45  00.34  0.6788039694367683507536526121800  0.6295476824678111205102482017500  0.3211960305632316492463473878200  0.0492562869689572302434044104300  
 46  00.46  00.37  0.6786710305588387059927413247300  0.6296538202720137755719065353300  0.3213289694411612940072586752600  0.0490172102868249304208347894020  
 48  00.46  00.38  0.6785515813925737660383674665300  0.6297496225087171328738122610900  0.3214484186074262339616325334600  0.0488019588838566331645552054400  
 50  00.49  00.39  0.6784437826689168060667611825900  0.6298364519004948647307173814600  0.3215562173310831939332388174100  0.0486073307684219413360438011290  
 52  00.52  00.42  0.6783461051757764259662053518700  0.6299154479137035744784611779300  0.3216538948242235740337946481300  0.0484306572620728514877441739370  
 54  00.66  00.42  0.6782572682269832897716810293800  0.6299875699677911500273808087500  0.3217427317730167102283189706200  0.0482696982591921397443002206270  
 56  00.53  00.46  0.6781761920506395036056801473000  0.6300536310871639456010484536800  0.3218238079493604963943198527000  0.0481225609634755580046316936200  
 58  00.54  00.46  0.6781019605879055056618653907200  0.6301143243560206608222529212100  0.3218980394120944943381346092800  0.0479876362318848448396124695130  
 60  00.57  00.47  0.6780337921626519159801205205400  0.6301702438967426989080422572400  0.3219662078373480840198794794600  0.0478635482659092170720782633000  
 62  00.60  00.55  0.6779710161620543518168346963600  0.6302219016404823070942597951200  0.3220289838379456481831653036300  0.0477491145215720447225749012430  
 64  00.61  00.55  0.6779130543508551376419291045700  0.6302697408353546970616321232200  0.3220869456491448623580708954200  0.0476433135155004405802969813520  
 66  00.62  00.59  0.6778594057889147928008810595200  0.6303141470038045035551022010600  0.3221405942110852071991189404800  0.0475452587851102892457788584580  
 68  00.64  00.63  0.6778096345737548711340991758300  0.6303554568897009602324033039600  0.3221903654262451288659008241700  0.0474541776840539109016958718710  
 70  00.70  00.65  0.6777633598149084281914156235900  0.6303939658093901110547108146400  0.3222366401850915718085843764100  0.0473693940055183171367048089450  
 72  00.78  00.64  0.6777202473841599239534616572200  0.6304299337267327274503259104700  0.3222797526158400760465383427800  0.0472903136574271965031357467520  
 74  00.79  00.66  0.6776800030884732040092899296700  0.6304635903012765218988988635800  0.3223199969115267959907100703300  0.0472164127871966821103910660890  
 76  00.80  00.66  0.6776423669899354074175334972100  0.6304951391049475883932018405200  0.3223576330100645925824665027900  0.0471472278849878190243316566920  
 78  00.82  00.74  0.6776071086560377931817811258900  0.6305247611615233394033452896100  0.3223928913439622068182188741000  0.0470823474945144537784358362840  
 80  00.78  00.80  0.6775740231688538450782743893800  0.6305526179314776547002452389300  0.3224259768311461549217256106200  0.0470214052373761903780291504520  
 82  00.91  00.80  0.6775429277566001884380852970900  0.6305788538402137266558611372600  0.3224570722433998115619147029100  0.0469640739163864617822241598330  
 84  00.97  00.82  0.6775136589382553253813057381200  0.6306035984285066620103066270500  0.3224863410617446746186942618800  0.0469100605097486633709991110660  
 86  00.93  00.84  0.6774860700931469859042977077500  0.6306269681888940770164708737900  0.3225139299068530140957022922500  0.0468591019042529088878268339610  
 88  01.01  01.11  0.6774600293841935849670221614300  0.6306490681398235764731907693200  0.3225399706158064150329778385600  0.0468109612443700084938313921160  
 90  01.03  00.85  0.6774354179767370087716926718700  0.6306699931798830371931785521100  0.3225645820232629912283073281300  0.0467654247968539715785141197560  
 92  01.00  00.92  0.6774121285054701679939626046700  0.6306898292568522412793186049400  0.3225878714945298320060373953300  0.0467222992486179267146439997300  
 94  01.28  01.30  0.6773900637504428612345463989200  0.6307086543802211675568969440000  0.3226099362495571387654536010800  0.0466814093702216936776494549120  
 96  01.38  01.13  0.6773691354899203931339002338000  0.6307265395008947450605774065500  0.3226308645100796068660997661900  0.0466425959890256480733228272580  
