----𝑘|𝑛=𝑘·𝑛ⱼ·𝑛ᵢ |-----tⱼᵢ------|--------tₜₒₜₐₗ---------|------data e hora (utc)-------|ƒₙ(1/𝑒ᵉ) → 1/𝑒 ≈ 0.36787944117144

-----|----------|------|-------|---------|-------------|1447408753|2015/11/13 09:59:13|
    1|    500000|   9.5|00:09.5|      9.5|00 00:00:09.5|1447408762|2015/11/13 09:59:22|0.3691549041042138
    2|   1000000|  10.4|00:10.4|     19.9|00 00:00:19.9|1447408773|2015/11/13 09:59:33|0.36878110533680825
    3|   1500000|  10.0|00:10.0|     29.9|00 00:00:29.9|1447408783|2015/11/13 09:59:43|0.36861556539294377
    4|   2000000|   9.2|00:09.2|     39.0|00 00:00:39.0|1447408792|2015/11/13 09:59:52|0.3685169012901947
    5|   2500000|  10.2|00:10.2|     49.2|00 00:00:49.2|1447408802|2015/11/13 10:00:02|0.36844957706750187
    6|   3000000|  10.0|00:10.0|     59.3|00 00:00:59.3|1447408812|2015/11/13 10:00:12|0.3683998842763437
    7|   3500000|   9.2|00:09.2|     68.4|00 00:01:08.4|1447408821|2015/11/13 10:00:21|0.36836126534354835
    8|   4000000|  10.2|00:10.2|     78.6|00 00:01:18.6|1447408831|2015/11/13 10:00:31|0.3683301369723824
    9|   4500000|  10.1|00:10.1|     88.7|00 00:01:28.7|1447408842|2015/11/13 10:00:42|0.3683043538701147
   10|   5000000|   9.2|00:09.2|     97.8|00 00:01:37.8|1447408851|2015/11/13 10:00:51|0.3682825428285627
   11|   5500000|  10.2|00:10.2|    108.0|00 00:01:48.0|1447408861|2015/11/13 10:01:01|0.36826377866065524
   12|   6000000|  10.1|00:10.1|    118.1|00 00:01:58.1|1447408871|2015/11/13 10:01:11|0.36824741224187163
   13|   6500000|   9.2|00:09.2|    127.3|00 00:02:07.3|1447408880|2015/11/13 10:01:20|0.36823297289774015
   14|   7000000|  10.4|00:10.4|    137.6|00 00:02:17.6|1447408890|2015/11/13 10:01:30|0.3682201099111144
   15|   7500000|  10.2|00:10.2|    147.9|00 00:02:27.9|1447408901|2015/11/13 10:01:41|0.3682085558757889
   16|   8000000|   9.2|00:09.2|    157.0|00 00:02:37.0|1447408910|2015/11/13 10:01:50|0.3681981028656009
   17|   8500000|  10.2|00:10.2|    167.2|00 00:02:47.2|1447408920|2015/11/13 10:02:00|0.3681885864381783
   18|   9000000|  10.1|00:10.1|    177.3|00 00:02:57.3|1447408930|2015/11/13 10:02:10|0.3681798746008187
   19|   9500000|  10.2|00:10.2|    187.5|00 00:03:07.5|1447408940|2015/11/13 10:02:20|0.3681718600160514
   20|  10000000|   9.2|00:09.2|    196.7|00 00:03:16.7|1447408950|2015/11/13 10:02:30|0.3681644543799872
   21|  10500000|  10.0|00:10.0|    206.7|00 00:03:26.7|1447408960|2015/11/13 10:02:40|0.36815758429167905
   22|  11000000|  10.2|00:10.2|    216.9|00 00:03:36.9|1447408970|2015/11/13 10:02:50|0.36815118816790554
   23|  11500000|  10.0|00:10.0|    226.9|00 00:03:46.9|1447408980|2015/11/13 10:03:00|0.3681452139041918
   24|  12000000|   9.2|00:09.2|    236.1|00 00:03:56.1|1447408989|2015/11/13 10:03:09|0.3681396170780528
   25|  12500000|  10.2|00:10.2|    246.3|00 00:04:06.3|1447408999|2015/11/13 10:03:19|0.36813435955148677
   26|  13000000|  10.0|00:10.0|    256.3|00 00:04:16.3|1447409009|2015/11/13 10:03:29|0.36812940837225805
   27|  13500000|   9.1|00:09.1|    265.4|00 00:04:25.4|1447409018|2015/11/13 10:03:38|0.368124734901186
   28|  14000000|  10.2|00:10.2|    275.6|00 00:04:35.6|1447409028|2015/11/13 10:03:48|0.36812031411238466
   29|  14500000|  10.0|00:10.0|    285.6|00 00:04:45.6|1447409038|2015/11/13 10:03:58|0.3681161240276385
   30|  15000000|   9.2|00:09.2|    294.7|00 00:04:54.7|1447409048|2015/11/13 10:04:08|0.36811214525512115
   31|  15500000|  10.2|00:10.2|    304.9|00 00:05:04.9|1447409058|2015/11/13 10:04:18|0.36810836061081015
   32|  16000000|  10.1|00:10.1|    315.0|00 00:05:15.0|1447409068|2015/11/13 10:04:28|0.36810475480548926
   33|  16500000|   9.2|00:09.2|    324.2|00 00:05:24.2|1447409077|2015/11/13 10:04:37|0.3681013141843406
   34|  17000000|  10.2|00:10.2|    334.4|00 00:05:34.4|1447409087|2015/11/13 10:04:47|0.36809802650892626
   35|  17500000|  10.0|00:10.0|    344.4|00 00:05:44.4|1447409097|2015/11/13 10:04:57|0.36809488077373564
   36|  18000000|   9.3|00:09.3|    353.7|00 00:05:53.7|1447409107|2015/11/13 10:05:07|0.36809186705093905
   37|  18500000|  10.3|00:10.3|    364.1|00 00:06:04.1|1447409117|2015/11/13 10:05:17|0.36808897635844406
   38|  19000000|  10.0|00:10.0|    374.2|00 00:06:14.2|1447409127|2015/11/13 10:05:27|0.36808620054707575
   39|  19500000|   9.1|00:09.1|    383.3|00 00:06:23.3|1447409136|2015/11/13 10:05:36|0.36808353220389395
   40|  20000000|  10.2|00:10.2|    393.5|00 00:06:33.5|1447409146|2015/11/13 10:05:46|0.3680809645687367
   41|  20500000|  10.0|00:10.0|    403.5|00 00:06:43.5|1447409156|2015/11/13 10:05:56|0.36807849146222066
   42|  21000000|   9.2|00:09.2|    412.7|00 00:06:52.7|1447409166|2015/11/13 10:06:06|0.3680761072230581
   43|  21500000|  10.2|00:10.2|    422.9|00 00:07:02.9|1447409176|2015/11/13 10:06:16|0.368073806653524
   44|  22000000|  10.0|00:10.0|    432.9|00 00:07:12.9|1447409186|2015/11/13 10:06:26|0.36807158497180126
   45|  22500000|  10.2|00:10.2|    443.1|00 00:07:23.1|1447409196|2015/11/13 10:06:36|0.36806943777012274
   46|  23000000|   9.2|00:09.2|    452.3|00 00:07:32.3|1447409205|2015/11/13 10:06:45|0.36806736097802234
   47|  23500000|  10.0|00:10.0|    462.3|00 00:07:42.3|1447409215|2015/11/13 10:06:55|0.3680653508297305
   48|  24000000|  10.3|00:10.3|    472.6|00 00:07:52.6|1447409225|2015/11/13 10:07:05|0.3680634038355865
   49|  24500000|  10.0|00:10.0|    482.6|00 00:08:02.6|1447409235|2015/11/13 10:07:15|0.36806151675651877
   50|  25000000|   9.2|00:09.2|    491.8|00 00:08:11.8|1447409245|2015/11/13 10:07:25|0.36805968658131294
   51|  25500000|  10.2|00:10.2|    502.0|00 00:08:22.0|1447409255|2015/11/13 10:07:35|0.36805791050651765
